question|description
7_26|<strong>Course:&nbsp;</strong>COMPSCI 383-01 Artificial Intelligence &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 11:30 AM - 12:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>McNichols
7_27|<strong>Course:&nbsp;</strong>COMPSCI 410-01 Compiler Techniques &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Guan
7_28|<strong>Course:&nbsp;</strong>COMPSCI 420-01 Software Entrepreneurship &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Rattigan
7_29|<strong>Course:&nbsp;</strong>COMPSCI 429-01 Software Engineering Project Management &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 01:00 PM - 02:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Brun
7_30|<strong>Course:&nbsp;</strong>COMPSCI 429-02 Software Engineering Project Management &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 11:30 AM - 12:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Davila
7_31|<strong>Course:&nbsp;</strong>COMPSCI 429-03 Software Engineering Project Management &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Anderson
7_32|<strong>Course:&nbsp;</strong>COMPSCI 429-04 Software Engineering Project Management &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Conboy
7_33|<strong>Course:&nbsp;</strong>COMPSCI 445-01 Information Systems &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Serafini
7_34|<strong>Course:&nbsp;</strong>COMPSCI 446-01 Search Engines &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Allan
7_35|<strong>Course:&nbsp;</strong>COMPSCI 453-01 Computer Networks &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 02:30 PM - 03:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Kermani
7_36|<strong>Course:&nbsp;</strong>COMPSCI 461-01 Secure Distributed Systems &nbsp; <strong>Schedule:&nbsp;</strong>BY ARRANGEMENT &nbsp; <strong>Instructor:&nbsp;</strong>Stone
7_37|<strong>Course:&nbsp;</strong>COMPSCI 485-01 Q Applications of Natural Language Processing &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 11:30 AM - 12:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>O'Connor
7_38|<strong>Course:&nbsp;</strong>COMPSCI 490Q-01 Quantum Information Science &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 10:10 AM - 11:25 AM &nbsp; <strong>Instructor:&nbsp;</strong>Rozpedek
7_39|<strong>Course:&nbsp;</strong>COMPSCI 514-01, 02 Algorithms for Data Science &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 01:00 PM - 02:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Musco
7_40|<strong>Course:&nbsp;</strong>COMPSCI 514-03, 04 Algorithms for Data Science &nbsp; <strong>Schedule:&nbsp;</strong>BY ARRANGEMENT (Online) &nbsp; <strong>Instructor:&nbsp;</strong>McGregor
7_41|<strong>Course:&nbsp;</strong>COMPSCI 515 Algorithms, Game Theory and Fairness &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 01:00 PM - 02:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Zick
7_42|<strong>Course:&nbsp;</strong>COMPSCI 520-01, 02 Theory and Practice of Software Engineering &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 10:00 AM - 11:15 AM &nbsp; <strong>Instructor:&nbsp;</strong>Zhai
7_43|<strong>Course:&nbsp;</strong>COMPSCI 528-01, 02 Mobile and Ubiquitous Computing &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Nguyen
7_44|<strong>Course:&nbsp;</strong>COMPSCI 532-01, 02 Systems for Data Science &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Klemperer
7_45|<strong>Course:&nbsp;</strong>COMPSCI 560-01 Introduction to Computer and Network Security &nbsp; <strong>Schedule:&nbsp;</strong>Tue 05:30 PM - 06:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Kermani
7_46|<strong>Course:&nbsp;</strong>COMPSCI 563-01 Internet Law and Policy &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 10:00 AM - 11:15 AM &nbsp; <strong>Instructor:&nbsp;</strong>Cable
7_47|<strong>Course:&nbsp;</strong>COMPSCI 575-01 Combinatorics and Graph Theory &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 01:00 PM - 02:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Wilson
7_48|<strong>Course:&nbsp;</strong>COMPSCI 589-01, 02 Machine Learning &nbsp; <strong>Schedule:&nbsp;</strong>BY ARRANGEMENT (Online) &nbsp; <strong>Instructor:&nbsp;</strong>Domke
7_49|<strong>Course:&nbsp;</strong>COMPSCI 590X-01, 02 Decarbonization and Data Science &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 02:30 PM - 03:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Taneja
7_50|<strong>Course:&nbsp;</strong>COMPSCI 602-01 Research Methods in Empirical Computer Science &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Jensen
7_51|<strong>Course:&nbsp;</strong>COMPSCI 610-01 Compiler Techniques &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Guan
